Id,MSSubClass,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,GarageCars,YrSold,SalePrice
1,60,RL,8450,7,5,2003,2003,196,Gd,856,Y,856,854,1710,1,Gd,0,2,2008,208500
2,20,RL,9600,6,8,1976,1976,0,TA,1262,Y,1262,0,1262,0,TA,1,2,2007,181500
3,60,RL,11250,7,5,2001,2002,162,Gd,920,Y,920,866,1786,1,Gd,1,2,2008,223500
4,70,RL,9550,7,5,1915,1970,0,TA,756,Y,961,756,1717,1,Gd,1,3,2006,140000
5,60,RL,14260,8,5,2000,2000,350,Gd,1145,Y,1145,1053,2198,1,Gd,1,3,2008,250000
6,50,RL,14115,5,5,1993,1995,0,TA,796,Y,796,566,1362,1,TA,0,2,2009,143000
7,20,RL,10084,8,5,2004,2005,186,Gd,1686,Y,1694,0,1694,1,Gd,1,2,2007,307000
8,60,RL,10382,7,6,1973,1973,240,TA,1107,Y,1107,983,2090,1,TA,2,2,2009,200000
9,50,RM,6120,7,5,1931,1950,0,TA,952,Y,1022,752,1774,0,TA,2,2,2008,129900
10,190,RL,7420,5,6,1939,1950,0,TA,991,Y,1077,0,1077,1,TA,2,1,2008,118000
11,20,RL,11200,5,5,1965,1965,0,TA,1040,Y,1040,0,1040,1,TA,0,1,2008,129500
12,60,RL,11924,9,5,2005,2006,286,Ex,1175,Y,1182,1142,2324,1,Ex,2,3,2006,345000
13,20,RL,12968,5,6,1962,1962,0,TA,912,Y,912,0,912,1,TA,0,1,2008,144000
14,20,RL,10652,7,5,2006,2007,306,Gd,1494,Y,1494,0,1494,0,Gd,1,3,2007,279500
15,20,RL,10920,6,5,1960,1960,212,TA,1253,Y,1253,0,1253,1,TA,1,1,2008,157000
16,45,RM,6120,7,8,1929,2001,0,TA,832,Y,854,0,854,0,TA,0,2,2007,132000
17,20,RL,11241,6,7,1970,1970,180,TA,1004,Y,1004,0,1004,1,TA,1,2,2010,149000
18,90,RL,10791,4,5,1967,1967,0,TA,0,Y,1296,0,1296,0,TA,0,2,2006,90000
19,20,RL,13695,5,5,2004,2004,0,TA,1114,Y,1114,0,1114,1,Gd,0,2,2008,159000
20,20,RL,7560,5,6,1958,1965,0,TA,1029,Y,1339,0,1339,0,TA,0,1,2009,139000
21,60,RL,14215,8,5,2005,2006,380,Gd,1158,Y,1158,1218,2376,0,Gd,1,3,2006,325300
22,45,RM,7449,7,7,1930,1950,0,TA,637,Y,1108,0,1108,0,Gd,1,1,2007,139400
23,20,RL,9742,8,5,2002,2002,281,Gd,1777,Y,1795,0,1795,0,Gd,1,2,2008,230000
24,120,RM,4224,5,7,1976,1976,0,TA,1040,Y,1060,0,1060,1,TA,1,2,2007,129900
25,20,RL,8246,5,8,1968,2001,0,TA,1060,Y,1060,0,1060,1,Gd,1,1,2010,154000
26,20,RL,14230,8,5,2007,2007,640,Gd,1566,Y,1600,0,1600,0,Gd,1,3,2009,256300
27,20,RL,7200,5,7,1951,2000,0,TA,900,Y,900,0,900,0,Gd,0,2,2010,134800
28,20,RL,11478,8,5,2007,2008,200,Gd,1704,Y,1704,0,1704,1,Gd,1,3,2010,306000
29,20,RL,16321,5,6,1957,1997,0,TA,1484,Y,1600,0,1600,1,TA,2,1,2006,207500
30,30,RM,6324,4,6,1927,1950,0,TA,520,N,520,0,520,0,Fa,0,1,2008,68500
31,70,C (all),8500,4,4,1920,1950,0,TA,649,N,649,668,1317,0,TA,0,1,2008,40000
32,20,RL,8544,5,6,1966,2006,0,TA,1228,Y,1228,0,1228,0,Gd,0,1,2008,149350
33,20,RL,11049,8,5,2007,2007,0,Gd,1234,Y,1234,0,1234,0,Gd,0,2,2008,179900
34,20,RL,10552,5,5,1959,1959,0,TA,1398,Y,1700,0,1700,0,Gd,1,2,2010,165500
35,120,RL,7313,9,5,2005,2005,246,Ex,1561,Y,1561,0,1561,1,Ex,1,2,2007,277500
36,60,RL,13418,8,5,2004,2005,132,Gd,1117,Y,1132,1320,2452,0,Gd,1,3,2006,309000
37,20,RL,10859,5,5,1994,1995,0,TA,1097,Y,1097,0,1097,0,TA,0,2,2009,145000
38,20,RL,8532,5,6,1954,1990,650,TA,1297,Y,1297,0,1297,0,TA,1,2,2009,153000
39,20,RL,7922,5,7,1953,2007,0,TA,1057,Y,1057,0,1057,1,Gd,0,1,2010,109000
40,90,RL,6040,4,5,1955,1955,0,TA,0,N,1152,0,1152,0,Fa,0,0,2008,82000
41,20,RL,8658,6,5,1965,1965,101,TA,1088,Y,1324,0,1324,0,TA,1,2,2006,160000
42,20,RL,16905,5,6,1959,1959,0,TA,1350,Y,1328,0,1328,0,TA,2,1,2007,170000
43,85,RL,9180,5,7,1983,1983,0,TA,840,Y,884,0,884,1,Gd,0,2,2007,144000
44,20,RL,9200,5,6,1975,1980,0,TA,938,Y,938,0,938,1,TA,0,1,2008,130250
45,20,RL,7945,5,6,1959,1959,0,TA,1150,Y,1150,0,1150,1,TA,0,1,2006,141000
46,120,RL,7658,9,5,2005,2005,412,Ex,1752,Y,1752,0,1752,1,Ex,1,2,2010,319900
47,50,RL,12822,7,5,2003,2003,0,Gd,1434,Y,1518,631,2149,1,Gd,1,2,2009,239686
48,20,FV,11096,8,5,2006,2006,0,Gd,1656,Y,1656,0,1656,0,Gd,0,3,2007,249700
49,190,RM,4456,4,5,1920,2008,0,TA,736,Y,736,716,1452,0,TA,0,0,2009,113000
